Method,Mean Distance,Std Error,Method Type
Last State,0.1736585795879364,0.006319302599877119,Baseline
CRL Inferred Goal,0.2994958460330963,0.06249215081334114,CRL
CRL MF Inferred Goal,0.35571911931037903,0.0022817987482994795,CRL (Mean Field)
GoalKDE Inferred Goal,0.7996232509613037,0.37424367666244507,GoalKDE
GoalKDE MF Inferred Goal,0.2174065113067627,0.0024484307505190372,GoalKDE (Mean Field)
BC Inferred Goal,0.1200452595949173,0.0013650358887389302,BC
BC MF Inferred Goal,0.1116129532456398,0.00115624547470361,BC (Mean Field)
